target_hole,target_machine,evaluation_days,special_day_type,score_method,result_key,evaluation_days_count,total_machines,avg_machines_per_day,win_days,win_rate,total_diff,avg_diff,payout_rate
アイランド秋葉原店,L+ToLOVEるダークネス,14,island,original,TOP1,13,13,1,9,69.23,42545,3273,120.03
アイランド秋葉原店,L+ToLOVEるダークネス,14,island,original,THRESHOLD_98PCT,13,16,1.23,10,62.5,40448,2528,115.22
アイランド秋葉原店,L+ToLOVEるダークネス,14,island,original,THRESHOLD_99PCT,13,14,1.08,9,64.29,40259,2876,117.55
アイランド秋葉原店,L+ToLOVEるダークネス,14,island,rms_frequency,TOP1,13,13,1,10,76.92,24872,1913,110.83
アイランド秋葉原店,L+ToLOVEるダークネス,14,island,rms_frequency,THRESHOLD_98PCT,13,17,1.31,12,70.59,26507,1559,108.94
アイランド秋葉原店,L+ToLOVEるダークネス,14,island,rms_frequency,THRESHOLD_99PCT,13,16,1.23,12,75,28782,1799,110.22
アイランド秋葉原店,L+ToLOVEるダークネス,28,island,original,TOP1,27,27,1,15,55.56,40623,1505,109.82
アイランド秋葉原店,L+ToLOVEるダークネス,28,island,original,THRESHOLD_98PCT,27,34,1.26,18,52.94,48747,1434,108.47
アイランド秋葉原店,L+ToLOVEるダークネス,28,island,original,THRESHOLD_99PCT,27,31,1.15,17,54.84,48734,1572,109.39
アイランド秋葉原店,L+ToLOVEるダークネス,28,island,rms_frequency,TOP1,27,27,1,19,70.37,42641,1579,109.29
アイランド秋葉原店,L+ToLOVEるダークネス,28,island,rms_frequency,THRESHOLD_98PCT,27,35,1.3,24,68.57,55578,1588,109.04
アイランド秋葉原店,L+ToLOVEるダークネス,28,island,rms_frequency,THRESHOLD_99PCT,27,33,1.22,24,72.73,60593,1836,110.67
アイランド秋葉原店,L+ToLOVEるダークネス,60,island,original,TOP1,59,59,1,31,52.54,76292,1293,107.44
アイランド秋葉原店,L+ToLOVEるダークネス,60,island,original,THRESHOLD_98PCT,59,71,1.2,35,49.3,78978,1112,105.69
アイランド秋葉原店,L+ToLOVEるダークネス,60,island,original,THRESHOLD_99PCT,59,66,1.12,33,50,77891,1180,106.14
アイランド秋葉原店,L+ToLOVEるダークネス,60,island,rms_frequency,TOP1,59,59,1,33,55.93,47283,801,104.9
アイランド秋葉原店,L+ToLOVEるダークネス,60,island,rms_frequency,THRESHOLD_98PCT,59,83,1.41,46,55.42,61719,744,104.72
アイランド秋葉原店,L+ToLOVEるダークネス,60,island,rms_frequency,THRESHOLD_99PCT,59,77,1.31,45,58.44,73819,959,106.02
アイランド秋葉原店,L+ToLOVEるダークネス,120,island,original,TOP1,70,70,1,32,45.71,64931,928,104.67
アイランド秋葉原店,L+ToLOVEるダークネス,120,island,original,THRESHOLD_98PCT,70,83,1.19,36,43.37,58653,707,103.04
アイランド秋葉原店,L+ToLOVEるダークネス,120,island,original,THRESHOLD_99PCT,70,77,1.1,34,44.16,60285,783,103.53
アイランド秋葉原店,L+ToLOVEるダークネス,120,island,rms_frequency,TOP1,70,70,1,38,54.29,44547,636,103.39
アイランド秋葉原店,L+ToLOVEるダークネス,120,island,rms_frequency,THRESHOLD_98PCT,70,96,1.37,50,52.08,57691,601,103.47
アイランド秋葉原店,L+ToLOVEるダークネス,120,island,rms_frequency,THRESHOLD_99PCT,70,89,1.27,48,53.93,67953,764,104.45
アイランド秋葉原店,Lソードアート・オンライン,14,island,original,TOP1,13,13,1,8,61.54,10007,770,101.2
アイランド秋葉原店,Lソードアート・オンライン,14,island,original,THRESHOLD_98PCT,13,13,1,8,61.54,10007,770,101.2
アイランド秋葉原店,Lソードアート・オンライン,14,island,original,THRESHOLD_99PCT,13,13,1,8,61.54,10007,770,101.2
アイランド秋葉原店,Lソードアート・オンライン,14,island,rms_frequency,TOP1,13,13,1,5,38.46,-3915,-301,95.47
アイランド秋葉原店,Lソードアート・オンライン,14,island,rms_frequency,THRESHOLD_98PCT,13,19,1.46,7,36.84,-7403,-390,95.08
アイランド秋葉原店,Lソードアート・オンライン,14,island,rms_frequency,THRESHOLD_99PCT,13,17,1.31,6,35.29,-6692,-394,94.95
アイランド秋葉原店,Lソードアート・オンライン,28,island,original,TOP1,27,27,1,14,51.85,928,34,98.08
アイランド秋葉原店,Lソードアート・オンライン,28,island,original,THRESHOLD_98PCT,27,30,1.11,15,50,470,16,97.55
アイランド秋葉原店,Lソードアート・オンライン,28,island,original,THRESHOLD_99PCT,27,28,1.04,15,53.57,5455,195,98.91
アイランド秋葉原店,Lソードアート・オンライン,28,island,rms_frequency,TOP1,27,27,1,14,51.85,19240,713,102.32
アイランド秋葉原店,Lソードアート・オンライン,28,island,rms_frequency,THRESHOLD_98PCT,27,37,1.37,17,45.95,17528,474,100.92
アイランド秋葉原店,Lソードアート・オンライン,28,island,rms_frequency,THRESHOLD_99PCT,27,32,1.19,15,46.87,16006,500,101.06
アイランド秋葉原店,Lソードアート・オンライン,60,island,original,TOP1,59,59,1,25,42.37,-13976,-237,95.91
アイランド秋葉原店,Lソードアート・オンライン,60,island,original,THRESHOLD_98PCT,59,66,1.12,27,40.91,-18778,-285,95.29
アイランド秋葉原店,Lソードアート・オンライン,60,island,original,THRESHOLD_99PCT,59,63,1.07,27,42.86,-11402,-181,95.93
アイランド秋葉原店,Lソードアート・オンライン,60,island,rms_frequency,TOP1,59,59,1,26,44.07,18684,317,99.07
アイランド秋葉原店,Lソードアート・オンライン,60,island,rms_frequency,THRESHOLD_98PCT,59,75,1.27,30,40,13106,175,98.14
アイランド秋葉原店,Lソードアート・オンライン,60,island,rms_frequency,THRESHOLD_99PCT,59,68,1.15,28,41.18,14742,217,98.27
アイランド秋葉原店,Lソードアート・オンライン,120,island,original,TOP1,70,70,1,27,38.57,-16731,-239,95.03
アイランド秋葉原店,Lソードアート・オンライン,120,island,original,THRESHOLD_98PCT,70,77,1.1,29,37.66,-21533,-280,94.58
アイランド秋葉原店,Lソードアート・オンライン,120,island,original,THRESHOLD_99PCT,70,74,1.06,29,39.19,-14157,-191,95.09
